Muy. ;V;1
Lo dos. ;H;2
Ahora y. ;I;3
La me. ;C;4
Que. ;S;5
Dije espera. ;Y;6
Había. ;H;7
Los. ;E;8
Dios. ;M;9
Un. ;P;10
Lejos. ;W;11
El forma. ;Q;12
Así. ;B;13
En justo. ;S;14
Con. ;F;15
Es. ;N;16
Tiene me. ;G;17
Saben dios. ;U;18
Tengo. ;G;19
Por. ;T;20
Nueva tengo. ;X;21
Eso y. ;J;22
Que. ;T;23
Ya. ;U;24
Tipo hacía. ;B;25
Debería los. ;U;26
Persona. ;M;27
Y está. ;J;28
La. ;G;29
Que puesto. ;F;30
Han algo. ;V;31
Me. ;O;32
Dije el. ;U;33
Sra que. ;H;34
Tu propia. ;P;35
Es de. ;U;36
Hombres. ;X;37
Ven. ;O;38
Un ti. ;Z;39
Era quien. ;J;40
Un. ;S;41
Eso. ;T;42
Por. ;R;43
Fue a. ;E;44
Hace o. ;N;45
Cuál de. ;Q;46
Te. ;W;47
Que. ;M;48
En. ;R;49
Lo a. ;W;50
Cuando de. ;V;51
Con. ;H;52
Es especial. ;P;53
De conocer. ;G;54
Cuando hecho. ;Q;55
Y. ;M;56
La en. ;S;57
La una. ;R;58
No todos. ;Z;59
Y debería. ;N;60
Si. ;M;61
O. ;N;62
El. ;Q;63
Los. ;S;64
Agente. ;B;65
Un. ;I;66
De. ;E;67
Es. ;M;68
Esto. ;O;69
Porque. ;S;70
Y no. ;X;71
Por es. ;G;72
Un. ;C;73
El. ;E;74
Fotos. ;F;75
De. ;H;76
No marido. ;R;77
Quiero yo. ;Y;78
Como. ;K;79
Más nosotros. ;F;80
De. ;E;81
No les. ;U;82
Como alguien. ;W;83
Y es. ;T;84
Por quién. ;P;85
De. ;S;86
Lo el. ;Y;87
Eso. ;P;88
Estamos. ;U;89
Lo éste. ;M;90
A de. ;G;91
Me con. ;M;92
Ojos por. ;U;93
Ver. ;A;94
De pasa. ;V;95
Pero es. ;C;96
Mi. ;Q;97
No en. ;H;98
Así. ;S;99
Hola. ;Z;100
